p1_rank,p2_rank,p1_win_rate,p2_win_rate,court_type,weather,match_duration_minutes,winner,p1_id,p2_id
76,130,0.49,0.67,Outdoor,Cloudy,59,Player 1,P1007,P1003
98,112,0.7,0.61,Outdoor,Cloudy,66,Player 2,P1011,P1020
119,108,0.61,0.36,Outdoor,Windy,65,Player 1,P1020,P1019
148,60,0.38,0.48,Indoor,N/A,48,Player 2,P1008,P1005
148,174,0.38,0.78,Outdoor,Windy,64,Player 2,P1008,P1018
76,21,0.49,0.22,Outdoor,Cloudy,63,Player 2,P1007,P1013
115,21,0.36,0.22,Indoor,N/A,34,Player 2,P1019,P1013
99,187,0.73,0.23,Outdoor,Cloudy,51,Player 1,P1002,P1012
98,118,0.7,0.66,Outdoor,Windy,60,Player 2,P1011,P1010
181,187,0.78,0.23,Outdoor,Sunny,64,Player 1,P1018,P1012
169,82,0.74,0.34,Outdoor,Cloudy,42,Player 2,P1001,P1017
148,177,0.38,0.4,Indoor,N/A,60,Player 2,P1008,P1016
148,125,0.38,0.19,Indoor,N/A,51,Player 1,P1008,P1009
99,125,0.73,0.19,Outdoor,Windy,61,Player 1,P1002,P1009
125,92,0.66,0.73,Outdoor,Sunny,49,Player 2,P1010,P1002
99,186,0.73,0.3,Outdoor,Cloudy,37,Player 1,P1002,P1004
148,69,0.38,0.49,Outdoor,Cloudy,48,Player 2,P1008,P1007
132,162,0.19,0.74,Indoor,N/A,46,Player 1,P1009,P1001
148,118,0.38,0.66,Outdoor,Sunny,52,Player 1,P1008,P1010
99,141,0.73,0.38,Outdoor,Windy,62,Player 2,P1002,P1008
28,187,0.22,0.23,Outdoor,Sunny,25,Player 1,P1013,P1012
47,133,0.58,0.43,Indoor,N/A,39,Player 1,P1006,P1015
68,108,0.74,0.36,Outdoor,Cloudy,49,Player 1,P1014,P1019
98,40,0.7,0.58,Outdoor,Windy,48,Player 2,P1011,P1006
193,82,0.3,0.34,Outdoor,Cloudy,48,Player 1,P1004,P1017
67,162,0.48,0.74,Outdoor,Cloudy,31,Player 1,P1005,P1001
89,40,0.34,0.58,Outdoor,Windy,45,Player 1,P1017,P1006
47,91,0.58,0.7,Outdoor,Sunny,55,Player 2,P1006,P1011
148,21,0.38,0.22,Indoor,N/A,36,Player 2,P1008,P1013
140,69,0.43,0.49,Indoor,N/A,39,Player 2,P1015,P1007
194,69,0.23,0.49,Outdoor,Windy,34,Player 2,P1012,P1007
89,177,0.34,0.4,Indoor,N/A,42,Player 1,P1017,P1016
28,69,0.22,0.49,Outdoor,Windy,61,Player 2,P1013,P1007
28,40,0.22,0.58,Indoor,N/A,59,Player 1,P1013,P1006
194,61,0.23,0.74,Outdoor,Cloudy,34,Player 2,P1012,P1014
98,125,0.7,0.19,Indoor,N/A,60,Player 1,P1011,P1009
137,21,0.67,0.22,Outdoor,Sunny,41,Player 2,P1003,P1013
193,21,0.3,0.22,Outdoor,Cloudy,30,Player 2,P1004,P1013
140,82,0.43,0.34,Outdoor,Sunny,51,Player 2,P1015,P1017
181,69,0.78,0.49,Outdoor,Windy,43,Player 2,P1018,P1007
181,92,0.78,0.73,Outdoor,Cloudy,48,Player 2,P1018,P1002
68,69,0.74,0.49,Outdoor,Sunny,55,Player 2,P1014,P1007
148,186,0.38,0.3,Outdoor,Windy,65,Player 1,P1008,P1004
76,92,0.49,0.73,Outdoor,Cloudy,54,Player 1,P1007,P1002
119,130,0.61,0.67,Outdoor,Cloudy,69,Player 2,P1020,P1003
184,91,0.4,0.7,Indoor,N/A,34,Player 2,P1016,P1011
47,133,0.58,0.43,Outdoor,Cloudy,47,Player 1,P1006,P1015
28,92,0.22,0.73,Indoor,N/A,38,Player 1,P1013,P1002
137,174,0.67,0.78,Outdoor,Sunny,52,Player 2,P1003,P1018
99,141,0.73,0.38,Indoor,N/A,51,Player 1,P1002,P1008
89,141,0.34,0.38,Indoor,N/A,50,Player 1,P1017,P1008
137,82,0.67,0.34,Outdoor,Cloudy,51,Player 1,P1003,P1017
169,82,0.74,0.34,Indoor,N/A,34,Player 1,P1001,P1017
115,177,0.36,0.4,Outdoor,Windy,55,Player 1,P1019,P1016
68,141,0.74,0.38,Outdoor,Cloudy,42,Player 1,P1014,P1008
125,174,0.66,0.78,Outdoor,Cloudy,57,Player 2,P1010,P1018
99,125,0.73,0.19,Outdoor,Cloudy,47,Player 2,P1002,P1009
89,61,0.34,0.74,Outdoor,Sunny,68,Player 2,P1017,P1014
125,91,0.66,0.7,Indoor,N/A,56,Player 2,P1010,P1011
184,187,0.4,0.23,Outdoor,Cloudy,70,Player 1,P1016,P1012
99,60,0.73,0.48,Outdoor,Cloudy,42,Player 1,P1002,P1005
181,112,0.78,0.61,Indoor,N/A,59,Player 2,P1018,P1020
193,91,0.3,0.7,Indoor,N/A,29,Player 2,P1004,P1011
125,21,0.66,0.22,Indoor,N/A,31,Player 1,P1010,P1013
98,125,0.7,0.19,Indoor,N/A,66,Player 1,P1011,P1009
140,21,0.43,0.22,Indoor,N/A,43,Player 2,P1015,P1013
132,92,0.19,0.73,Indoor,N/A,64,Player 2,P1009,P1002
47,174,0.58,0.78,Outdoor,Windy,45,Player 1,P1006,P1018
115,162,0.36,0.74,Indoor,N/A,55,Player 1,P1019,P1001
169,112,0.74,0.61,Outdoor,Windy,42,Player 2,P1001,P1020
193,21,0.3,0.22,Outdoor,Windy,26,Player 2,P1004,P1013
148,108,0.38,0.36,Outdoor,Sunny,62,Player 2,P1008,P1019
28,82,0.22,0.34,Indoor,N/A,61,Player 1,P1013,P1017
28,61,0.22,0.74,Outdoor,Sunny,43,Player 2,P1013,P1014
119,40,0.61,0.58,Outdoor,Sunny,46,Player 2,P1020,P1006
125,141,0.66,0.38,Indoor,N/A,56,Player 1,P1010,P1008
98,40,0.7,0.58,Indoor,N/A,38,Player 2,P1011,P1006
132,112,0.19,0.61,Indoor,N/A,62,Player 1,P1009,P1020
169,141,0.74,0.38,Outdoor,Cloudy,46,Player 2,P1001,P1008
137,162,0.67,0.74,Outdoor,Windy,57,Player 2,P1003,P1001
115,69,0.36,0.49,Indoor,N/A,53,Player 2,P1019,P1007
137,125,0.67,0.19,Indoor,N/A,71,Player 1,P1003,P1009
115,130,0.36,0.67,Outdoor,Sunny,56,Player 1,P1019,P1003
67,82,0.48,0.34,Indoor,N/A,54,Player 1,P1005,P1017
193,112,0.3,0.61,Outdoor,Cloudy,53,Player 2,P1004,P1020
140,108,0.43,0.36,Indoor,N/A,58,Player 2,P1015,P1019
115,162,0.36,0.74,Outdoor,Windy,54,Player 1,P1019,P1001
148,162,0.38,0.74,Outdoor,Cloudy,56,Player 2,P1008,P1001
125,162,0.66,0.74,Outdoor,Windy,64,Player 2,P1010,P1001
115,177,0.36,0.4,Indoor,N/A,56,Player 1,P1019,P1016
99,21,0.73,0.22,Indoor,N/A,48,Player 2,P1002,P1013
67,108,0.48,0.36,Indoor,N/A,64,Player 2,P1005,P1019
99,21,0.73,0.22,Outdoor,Windy,46,Player 1,P1002,P1013
98,187,0.7,0.23,Outdoor,Cloudy,41,Player 1,P1011,P1012
132,130,0.19,0.67,Indoor,N/A,67,Player 2,P1009,P1003
76,118,0.49,0.66,Outdoor,Windy,61,Player 1,P1007,P1010
47,112,0.58,0.61,Outdoor,Cloudy,39,Player 1,P1006,P1020
194,21,0.23,0.22,Outdoor,Windy,25,Player 2,P1012,P1013
47,82,0.58,0.34,Indoor,N/A,54,Player 1,P1006,P1017
184,130,0.4,0.67,Outdoor,Sunny,47,Player 1,P1016,P1003
148,69,0.38,0.49,Indoor,N/A,42,Player 2,P1008,P1007
89,186,0.34,0.3,Outdoor,Windy,47,Player 1,P1017,P1004
125,174,0.66,0.78,Outdoor,Sunny,62,Player 1,P1010,P1018
99,69,0.73,0.49,Outdoor,Cloudy,53,Player 2,P1002,P1007
148,60,0.38,0.48,Indoor,N/A,38,Player 1,P1008,P1005
140,118,0.43,0.66,Outdoor,Windy,46,Player 2,P1015,P1010
193,130,0.3,0.67,Indoor,N/A,57,Player 2,P1004,P1003
193,141,0.3,0.38,Outdoor,Cloudy,50,Player 2,P1004,P1008
98,133,0.7,0.43,Outdoor,Windy,44,Player 1,P1011,P1015
181,92,0.78,0.73,Indoor,N/A,42,Player 2,P1018,P1002
98,174,0.7,0.78,Outdoor,Windy,49,Player 2,P1011,P1018
67,40,0.48,0.58,Outdoor,Sunny,55,Player 1,P1005,P1006
181,162,0.78,0.74,Outdoor,Windy,59,Player 2,P1018,P1001
89,91,0.34,0.7,Outdoor,Cloudy,70,Player 2,P1017,P1011
194,40,0.23,0.58,Outdoor,Cloudy,35,Player 2,P1012,P1006
181,40,0.78,0.58,Indoor,N/A,44,Player 2,P1018,P1006
99,130,0.73,0.67,Indoor,N/A,60,Player 1,P1002,P1003
132,69,0.19,0.49,Outdoor,Windy,46,Player 1,P1009,P1007
47,125,0.58,0.19,Outdoor,Sunny,40,Player 1,P1006,P1009
148,40,0.38,0.58,Outdoor,Sunny,52,Player 2,P1008,P1006
99,60,0.73,0.48,Indoor,N/A,64,Player 2,P1002,P1005
119,141,0.61,0.38,Outdoor,Sunny,65,Player 1,P1020,P1008
67,92,0.48,0.73,Indoor,N/A,63,Player 1,P1005,P1002
140,112,0.43,0.61,Outdoor,Cloudy,55,Player 1,P1015,P1020
193,21,0.3,0.22,Outdoor,Cloudy,26,Player 2,P1004,P1013
140,174,0.43,0.78,Indoor,N/A,53,Player 2,P1015,P1018
99,174,0.73,0.78,Outdoor,Sunny,57,Player 2,P1002,P1018
47,187,0.58,0.23,Outdoor,Windy,25,Player 1,P1006,P1012
28,40,0.22,0.58,Indoor,N/A,52,Player 1,P1013,P1006
28,162,0.22,0.74,Indoor,N/A,36,Player 2,P1013,P1001
148,92,0.38,0.73,Outdoor,Sunny,55,Player 2,P1008,P1002
119,130,0.61,0.67,Indoor,N/A,71,Player 1,P1020,P1003
119,40,0.61,0.58,Outdoor,Windy,49,Player 2,P1020,P1006
169,187,0.74,0.23,Outdoor,Sunny,58,Player 1,P1001,P1012
115,40,0.36,0.58,Indoor,N/A,39,Player 2,P1019,P1006
47,186,0.58,0.3,Outdoor,Sunny,43,Player 1,P1006,P1004
137,112,0.67,0.61,Outdoor,Cloudy,64,Player 1,P1003,P1020
47,130,0.58,0.67,Outdoor,Cloudy,52,Player 2,P1006,P1003
76,118,0.49,0.66,Outdoor,Sunny,57,Player 1,P1007,P1010
194,130,0.23,0.67,Outdoor,Sunny,48,Player 2,P1012,P1003
193,141,0.3,0.38,Outdoor,Windy,62,Player 2,P1004,P1008
132,174,0.19,0.78,Outdoor,Sunny,60,Player 2,P1009,P1018
28,60,0.22,0.48,Outdoor,Cloudy,55,Player 2,P1013,P1005
125,92,0.66,0.73,Indoor,N/A,52,Player 1,P1010,P1002
67,92,0.48,0.73,Indoor,N/A,50,Player 2,P1005,P1002
119,61,0.61,0.74,Outdoor,Windy,55,Player 2,P1020,P1014
28,82,0.22,0.34,Outdoor,Cloudy,49,Player 1,P1013,P1017
119,187,0.61,0.23,Indoor,N/A,51,Player 1,P1020,P1012
98,92,0.7,0.73,Outdoor,Sunny,69,Player 2,P1011,P1002
28,118,0.22,0.66,Indoor,N/A,44,Player 1,P1013,P1010
125,21,0.66,0.22,Indoor,N/A,34,Player 1,P1010,P1013
148,174,0.38,0.78,Outdoor,Cloudy,49,Player 2,P1008,P1018
99,174,0.73,0.78,Indoor,N/A,41,Player 1,P1002,P1018
89,91,0.34,0.7,Indoor,N/A,59,Player 2,P1017,P1011
115,69,0.36,0.49,Outdoor,Cloudy,40,Player 2,P1019,P1007
68,92,0.74,0.73,Indoor,N/A,52,Player 1,P1014,P1002
98,133,0.7,0.43,Outdoor,Windy,67,Player 2,P1011,P1015
125,69,0.66,0.49,Outdoor,Cloudy,51,Player 2,P1010,P1007
98,125,0.7,0.19,Indoor,N/A,50,Player 2,P1011,P1009
184,92,0.4,0.73,Outdoor,Windy,54,Player 2,P1016,P1002
47,174,0.58,0.78,Indoor,N/A,33,Player 1,P1006,P1018
137,61,0.67,0.74,Outdoor,Windy,55,Player 2,P1003,P1014
194,108,0.23,0.36,Outdoor,Sunny,45,Player 2,P1012,P1019
184,40,0.4,0.58,Indoor,N/A,34,Player 2,P1016,P1006
98,108,0.7,0.36,Indoor,N/A,64,Player 2,P1011,P1019
193,177,0.3,0.4,Outdoor,Cloudy,50,Player 1,P1004,P1016
125,60,0.66,0.48,Outdoor,Cloudy,43,Player 1,P1010,P1005
68,130,0.74,0.67,Indoor,N/A,58,Player 1,P1014,P1003
148,108,0.38,0.36,Outdoor,Windy,52,Player 1,P1008,P1019
68,118,0.74,0.66,Indoor,N/A,52,Player 1,P1014,P1010
47,141,0.58,0.38,Outdoor,Cloudy,54,Player 1,P1006,P1008
181,162,0.78,0.74,Outdoor,Cloudy,66,Player 2,P1018,P1001
99,69,0.73,0.49,Indoor,N/A,64,Player 2,P1002,P1007
28,82,0.22,0.34,Outdoor,Windy,58,Player 1,P1013,P1017
67,112,0.48,0.61,Indoor,N/A,56,Player 1,P1005,P1020
148,125,0.38,0.19,Outdoor,Windy,60,Player 2,P1008,P1009
181,125,0.78,0.19,Outdoor,Cloudy,47,Player 2,P1018,P1009
99,82,0.73,0.34,Indoor,N/A,60,Player 2,P1002,P1017
194,125,0.23,0.19,Indoor,N/A,52,Player 2,P1012,P1009
193,141,0.3,0.38,Outdoor,Sunny,54,Player 2,P1004,P1008
193,92,0.3,0.73,Outdoor,Windy,50,Player 2,P1004,P1002
99,82,0.73,0.34,Outdoor,Sunny,63,Player 1,P1002,P1017
28,125,0.22,0.19,Indoor,N/A,35,Player 1,P1013,P1009
169,177,0.74,0.4,Indoor,N/A,52,Player 1,P1001,P1016
98,61,0.7,0.74,Indoor,N/A,61,Player 1,P1011,P1014
125,69,0.66,0.49,Indoor,N/A,62,Player 1,P1010,P1007
68,91,0.74,0.7,Outdoor,Windy,52,Player 1,P1014,P1011
115,186,0.36,0.3,Indoor,N/A,46,Player 1,P1019,P1004
67,40,0.48,0.58,Outdoor,Cloudy,54,Player 1,P1005,P1006
68,21,0.74,0.22,Outdoor,Cloudy,63,Player 1,P1014,P1013
125,112,0.66,0.61,Outdoor,Sunny,68,Player 2,P1010,P1020
98,133,0.7,0.43,Outdoor,Windy,63,Player 1,P1011,P1015
181,118,0.78,0.66,Indoor,N/A,53,Player 2,P1018,P1010
47,82,0.58,0.34,Outdoor,Cloudy,49,Player 2,P1006,P1017
89,125,0.34,0.19,Indoor,N/A,51,Player 2,P1017,P1009
181,112,0.78,0.61,Indoor,N/A,41,Player 2,P1018,P1020
47,21,0.58,0.22,Indoor,N/A,46,Player 1,P1006,P1013
98,130,0.7,0.67,Outdoor,Sunny,46,Player 1,P1011,P1003
184,187,0.4,0.23,Outdoor,Sunny,53,Player 1,P1016,P1012
68,162,0.74,0.74,Outdoor,Windy,53,Player 1,P1014,P1001
67,187,0.48,0.23,Indoor,N/A,35,Player 1,P1005,P1012
89,21,0.34,0.22,Indoor,N/A,58,Player 2,P1017,P1013
193,82,0.3,0.34,Outdoor,Windy,47,Player 2,P1004,P1017
28,82,0.22,0.34,Outdoor,Cloudy,50,Player 2,P1013,P1017
115,91,0.36,0.7,Outdoor,Windy,59,Player 2,P1019,P1011
140,187,0.43,0.23,Outdoor,Sunny,48,Player 1,P1015,P1012
169,61,0.74,0.74,Outdoor,Sunny,40,Player 2,P1001,P1014
132,92,0.19,0.73,Indoor,N/A,57,Player 1,P1009,P1002
140,60,0.43,0.48,Outdoor,Cloudy,41,Player 1,P1015,P1005
193,118,0.3,0.66,Outdoor,Windy,56,Player 2,P1004,P1010
76,130,0.49,0.67,Indoor,N/A,43,Player 1,P1007,P1003
28,61,0.22,0.74,Indoor,N/A,48,Player 2,P1013,P1014
89,177,0.34,0.4,Indoor,N/A,38,Player 2,P1017,P1016
89,40,0.34,0.58,Indoor,N/A,55,Player 1,P1017,P1006
140,69,0.43,0.49,Indoor,N/A,37,Player 2,P1015,P1007
68,112,0.74,0.61,Indoor,N/A,55,Player 1,P1014,P1020
125,92,0.66,0.73,Indoor,N/A,60,Player 1,P1010,P1002
76,21,0.49,0.22,Indoor,N/A,48,Player 2,P1007,P1013
99,186,0.73,0.3,Indoor,N/A,52,Player 1,P1002,P1004
184,21,0.4,0.22,Indoor,N/A,37,Player 2,P1016,P1013
181,40,0.78,0.58,Indoor,N/A,25,Player 2,P1018,P1006
193,112,0.3,0.61,Outdoor,Windy,46,Player 1,P1004,P1020
119,69,0.61,0.49,Outdoor,Windy,54,Player 1,P1020,P1007
169,21,0.74,0.22,Outdoor,Cloudy,40,Player 1,P1001,P1013
169,91,0.74,0.7,Indoor,N/A,34,Player 1,P1001,P1011
137,112,0.67,0.61,Indoor,N/A,59,Player 1,P1003,P1020
98,130,0.7,0.67,Outdoor,Sunny,46,Player 1,P1011,P1003
184,174,0.4,0.78,Outdoor,Windy,71,Player 2,P1016,P1018
137,108,0.67,0.36,Outdoor,Cloudy,46,Player 2,P1003,P1019
169,21,0.74,0.22,Indoor,N/A,33,Player 2,P1001,P1013
76,118,0.49,0.66,Outdoor,Sunny,46,Player 1,P1007,P1010
137,118,0.67,0.66,Outdoor,Sunny,53,Player 2,P1003,P1010
181,91,0.78,0.7,Outdoor,Cloudy,55,Player 2,P1018,P1011
125,40,0.66,0.58,Indoor,N/A,46,Player 2,P1010,P1006
67,69,0.48,0.49,Outdoor,Sunny,67,Player 2,P1005,P1007
119,133,0.61,0.43,Indoor,N/A,47,Player 2,P1020,P1015
115,174,0.36,0.78,Indoor,N/A,48,Player 2,P1019,P1018
140,40,0.43,0.58,Indoor,N/A,33,Player 2,P1015,P1006
184,187,0.4,0.23,Indoor,N/A,50,Player 1,P1016,P1012
193,177,0.3,0.4,Outdoor,Cloudy,50,Player 2,P1004,P1016
137,91,0.67,0.7,Indoor,N/A,40,Player 2,P1003,P1011
28,130,0.22,0.67,Outdoor,Windy,33,Player 1,P1013,P1003
137,186,0.67,0.3,Outdoor,Sunny,44,Player 1,P1003,P1004
184,112,0.4,0.61,Outdoor,Cloudy,53,Player 2,P1016,P1020
98,141,0.7,0.38,Outdoor,Cloudy,61,Player 2,P1011,P1008
89,133,0.34,0.43,Outdoor,Sunny,52,Player 2,P1017,P1015
89,141,0.34,0.38,Outdoor,Sunny,50,Player 2,P1017,P1008
193,61,0.3,0.74,Indoor,N/A,30,Player 2,P1004,P1014
140,174,0.43,0.78,Outdoor,Cloudy,62,Player 1,P1015,P1018
181,112,0.78,0.61,Outdoor,Cloudy,57,Player 1,P1018,P1020
181,112,0.78,0.61,Outdoor,Windy,38,Player 2,P1018,P1020
47,162,0.58,0.74,Outdoor,Cloudy,47,Player 2,P1006,P1001
193,177,0.3,0.4,Outdoor,Windy,58,Player 2,P1004,P1016
125,186,0.66,0.3,Indoor,N/A,61,Player 1,P1010,P1004
125,187,0.66,0.23,Outdoor,Cloudy,47,Player 1,P1010,P1012
169,174,0.74,0.78,Outdoor,Sunny,57,Player 1,P1001,P1018
47,108,0.58,0.36,Outdoor,Sunny,40,Player 1,P1006,P1019
137,125,0.67,0.19,Outdoor,Sunny,63,Player 1,P1003,P1009
169,177,0.74,0.4,Outdoor,Sunny,57,Player 1,P1001,P1016
169,92,0.74,0.73,Outdoor,Sunny,43,Player 2,P1001,P1002
184,112,0.4,0.61,Outdoor,Windy,50,Player 2,P1016,P1020
169,91,0.74,0.7,Indoor,N/A,58,Player 2,P1001,P1011
67,141,0.48,0.38,Outdoor,Sunny,37,Player 1,P1005,P1008
132,118,0.19,0.66,Indoor,N/A,70,Player 2,P1009,P1010
98,118,0.7,0.66,Outdoor,Windy,57,Player 1,P1011,P1010
137,92,0.67,0.73,Outdoor,Cloudy,45,Player 2,P1003,P1002
184,69,0.4,0.49,Outdoor,Windy,36,Player 2,P1016,P1007
98,130,0.7,0.67,Outdoor,Windy,49,Player 1,P1011,P1003
28,82,0.22,0.34,Outdoor,Windy,41,Player 2,P1013,P1017
184,174,0.4,0.78,Indoor,N/A,63,Player 1,P1016,P1018
132,92,0.19,0.73,Outdoor,Sunny,56,Player 2,P1009,P1002
140,108,0.43,0.36,Outdoor,Windy,67,Player 1,P1015,P1019
140,162,0.43,0.74,Outdoor,Windy,64,Player 2,P1015,P1001
181,186,0.78,0.3,Outdoor,Windy,50,Player 2,P1018,P1004
125,174,0.66,0.78,Indoor,N/A,54,Player 1,P1010,P1018
125,40,0.66,0.58,Outdoor,Windy,40,Player 2,P1010,P1006
115,125,0.36,0.19,Outdoor,Cloudy,67,Player 2,P1019,P1009
137,61,0.67,0.74,Outdoor,Windy,39,Player 2,P1003,P1014
115,40,0.36,0.58,Indoor,N/A,52,Player 2,P1019,P1006
137,112,0.67,0.61,Outdoor,Cloudy,67,Player 1,P1003,P1020
137,91,0.67,0.7,Outdoor,Windy,50,Player 2,P1003,P1011
148,60,0.38,0.48,Outdoor,Cloudy,41,Player 2,P1008,P1005
68,108,0.74,0.36,Indoor,N/A,51,Player 1,P1014,P1019
68,141,0.74,0.38,Outdoor,Windy,50,Player 1,P1014,P1008
98,187,0.7,0.23,Outdoor,Windy,43,Player 1,P1011,P1012
68,130,0.74,0.67,Outdoor,Windy,56,Player 1,P1014,P1003
193,40,0.3,0.58,Outdoor,Cloudy,25,Player 2,P1004,P1006
140,69,0.43,0.49,Indoor,N/A,50,Player 2,P1015,P1007
67,91,0.48,0.7,Indoor,N/A,57,Player 2,P1005,P1011
119,21,0.61,0.22,Outdoor,Windy,41,Player 2,P1020,P1013
98,130,0.7,0.67,Outdoor,Windy,50,Player 2,P1011,P1003
67,108,0.48,0.36,Indoor,N/A,47,Player 1,P1005,P1019
99,60,0.73,0.48,Outdoor,Windy,65,Player 2,P1002,P1005
28,69,0.22,0.49,Outdoor,Windy,56,Player 2,P1013,P1007
68,108,0.74,0.36,Outdoor,Windy,62,Player 2,P1014,P1019
194,92,0.23,0.73,Indoor,N/A,30,Player 2,P1012,P1002
98,174,0.7,0.78,Outdoor,Sunny,38,Player 1,P1011,P1018
68,112,0.74,0.61,Outdoor,Cloudy,43,Player 1,P1014,P1020
76,40,0.49,0.58,Outdoor,Cloudy,59,Player 2,P1007,P1006
148,174,0.38,0.78,Indoor,N/A,52,Player 2,P1008,P1018
132,92,0.19,0.73,Outdoor,Sunny,47,Player 2,P1009,P1002
194,82,0.23,0.34,Indoor,N/A,35,Player 2,P1012,P1017
137,60,0.67,0.48,Outdoor,Windy,46,Player 2,P1003,P1005
28,133,0.22,0.43,Indoor,N/A,30,Player 2,P1013,P1015
67,186,0.48,0.3,Outdoor,Cloudy,41,Player 1,P1005,P1004
193,69,0.3,0.49,Indoor,N/A,32,Player 2,P1004,P1007
28,91,0.22,0.7,Outdoor,Cloudy,57,Player 1,P1013,P1011
125,125,0.66,0.19,Indoor,N/A,72,Player 1,P1010,P1009
137,186,0.67,0.3,Indoor,N/A,43,Player 1,P1003,P1004
137,177,0.67,0.4,Indoor,N/A,61,Player 1,P1003,P1016
67,162,0.48,0.74,Outdoor,Sunny,47,Player 1,P1005,P1001
194,60,0.23,0.48,Outdoor,Windy,40,Player 2,P1012,P1005
115,60,0.36,0.48,Outdoor,Cloudy,44,Player 1,P1019,P1005
76,130,0.49,0.67,Indoor,N/A,53,Player 1,P1007,P1003
169,61,0.74,0.74,Indoor,N/A,29,Player 2,P1001,P1014
119,162,0.61,0.74,Indoor,N/A,58,Player 1,P1020,P1001
99,21,0.73,0.22,Indoor,N/A,50,Player 1,P1002,P1013
125,108,0.66,0.36,Outdoor,Cloudy,68,Player 1,P1010,P1019
68,118,0.74,0.66,Outdoor,Windy,54,Player 1,P1014,P1010
76,174,0.49,0.78,Outdoor,Cloudy,37,Player 1,P1007,P1018
47,174,0.58,0.78,Outdoor,Sunny,41,Player 1,P1006,P1018
89,177,0.34,0.4,Outdoor,Windy,46,Player 1,P1017,P1016
132,112,0.19,0.61,Outdoor,Sunny,61,Player 2,P1009,P1020
98,162,0.7,0.74,Indoor,N/A,60,Player 1,P1011,P1001
28,82,0.22,0.34,Outdoor,Cloudy,40,Player 2,P1013,P1017
184,69,0.4,0.49,Outdoor,Cloudy,49,Player 2,P1016,P1007
169,133,0.74,0.43,Outdoor,Sunny,56,Player 2,P1001,P1015
169,61,0.74,0.74,Indoor,N/A,30,Player 2,P1001,P1014
194,118,0.23,0.66,Outdoor,Sunny,36,Player 1,P1012,P1010
99,187,0.73,0.23,Outdoor,Cloudy,54,Player 1,P1002,P1012
181,82,0.78,0.34,Outdoor,Sunny,45,Player 2,P1018,P1017
125,60,0.66,0.48,Indoor,N/A,39,Player 2,P1010,P1005
184,174,0.4,0.78,Indoor,N/A,55,Player 1,P1016,P1018
99,162,0.73,0.74,Outdoor,Windy,55,Player 2,P1002,P1001
140,118,0.43,0.66,Outdoor,Sunny,53,Player 2,P1015,P1010
184,130,0.4,0.67,Outdoor,Cloudy,41,Player 2,P1016,P1003
119,118,0.61,0.66,Outdoor,Sunny,73,Player 2,P1020,P1010
148,40,0.38,0.58,Outdoor,Sunny,34,Player 2,P1008,P1006
169,69,0.74,0.49,Indoor,N/A,39,Player 1,P1001,P1007
137,174,0.67,0.78,Outdoor,Windy,66,Player 2,P1003,P1018
169,125,0.74,0.19,Outdoor,Cloudy,50,Player 1,P1001,P1009
137,125,0.67,0.19,Outdoor,Cloudy,55,Player 2,P1003,P1009
89,40,0.34,0.58,Outdoor,Sunny,52,Player 2,P1017,P1006
67,133,0.48,0.43,Indoor,N/A,48,Player 2,P1005,P1015
47,133,0.58,0.43,Outdoor,Cloudy,39,Player 1,P1006,P1015
137,69,0.67,0.49,Outdoor,Sunny,56,Player 2,P1003,P1007
181,82,0.78,0.34,Outdoor,Cloudy,32,Player 2,P1018,P1017
115,141,0.36,0.38,Outdoor,Sunny,60,Player 2,P1019,P1008
137,61,0.67,0.74,Indoor,N/A,38,Player 2,P1003,P1014
99,60,0.73,0.48,Outdoor,Windy,65,Player 1,P1002,P1005
148,162,0.38,0.74,Outdoor,Sunny,71,Player 2,P1008,P1001
181,141,0.78,0.38,Outdoor,Sunny,59,Player 1,P1018,P1008
67,40,0.48,0.58,Outdoor,Windy,54,Player 2,P1005,P1006
193,60,0.3,0.48,Outdoor,Cloudy,32,Player 2,P1004,P1005
119,82,0.61,0.34,Outdoor,Sunny,50,Player 2,P1020,P1017
119,82,0.61,0.34,Indoor,N/A,60,Player 2,P1020,P1017
47,162,0.58,0.74,Outdoor,Cloudy,38,Player 1,P1006,P1001
89,125,0.34,0.19,Outdoor,Cloudy,57,Player 1,P1017,P1009
89,177,0.34,0.4,Outdoor,Sunny,32,Player 2,P1017,P1016
148,69,0.38,0.49,Indoor,N/A,34,Player 2,P1008,P1007
169,141,0.74,0.38,Outdoor,Cloudy,59,Player 1,P1001,P1008
148,21,0.38,0.22,Indoor,N/A,31,Player 2,P1008,P1013
181,118,0.78,0.66,Outdoor,Windy,50,Player 1,P1018,P1010
119,69,0.61,0.49,Outdoor,Sunny,42,Player 2,P1020,P1007
115,118,0.36,0.66,Indoor,N/A,72,Player 2,P1019,P1010
184,112,0.4,0.61,Outdoor,Cloudy,36,Player 2,P1016,P1020
67,133,0.48,0.43,Outdoor,Cloudy,41,Player 1,P1005,P1015
28,125,0.22,0.19,Indoor,N/A,39,Player 2,P1013,P1009
181,21,0.78,0.22,Indoor,N/A,25,Player 2,P1018,P1013
47,82,0.58,0.34,Outdoor,Cloudy,45,Player 1,P1006,P1017
28,40,0.22,0.58,Indoor,N/A,66,Player 2,P1013,P1006
181,92,0.78,0.73,Outdoor,Cloudy,41,Player 2,P1018,P1002
125,108,0.66,0.36,Outdoor,Cloudy,51,Player 2,P1010,P1019
